timestamp,oi_contracts,openInterest,oi_usd
2025-11-09 18:20:00,10222478,1022247.8,41983717.146
2025-11-09 18:25:00,10211852,1021185.2,42049342.9804
2025-11-09 18:30:00,10212668,1021266.8,41998575.8832
2025-11-09 18:35:00,10208931,1020893.1,41945434.7997
2025-11-09 18:40:00,10208200,1020820.0,42051659.08
2025-11-09 18:45:00,10206944,1020694.4,42107726.7776
2025-11-09 18:50:00,10204202,1020420.2,42498460.4896
2025-11-09 18:55:00,10186254,1018625.4,42706888.5204
2025-11-09 19:00:00,10205051,1020505.1,42949998.1437
2025-11-09 19:05:00,10212455,1021245.5,43034264.1245
2025-11-09 19:10:00,10224701,1022470.1,42766856.8727
2025-11-09 19:15:00,10206583,1020658.3,42682909.4477
2025-11-09 19:20:00,10189337,1018933.7,42794196.4663
2025-11-09 19:25:00,10191162,1019116.2,42838549.467
2025-11-09 19:30:00,10198888,1019888.8,42907741.7048
2025-11-09 19:35:00,10214437,1021443.7,42940471.7043
2025-11-09 19:40:00,10207076,1020707.6,42929940.9484
2025-11-09 19:45:00,10208208,1020820.8,42992888.8128
2025-11-09 19:50:00,10212668,1021266.8,43166905.1024
2025-11-09 19:55:00,10220935,1022093.5,43295880.66
2025-11-09 20:00:00,10216776,1021677.6,43441731.552
2025-11-09 20:05:00,10217131,1021713.1,43602628.2556
2025-11-09 20:10:00,10244668,1024466.8,43392315.7808
2025-11-09 20:15:00,10262843,1026284.3,43237357.559
2025-11-09 20:20:00,10274353,1027435.3,43369071.4483
2025-11-09 20:25:00,10271916,1027191.6,43372138.1184
2025-11-09 20:30:00,10268712,1026871.2,43321642.1856
2025-11-09 20:35:00,10260957,1026095.7,43453100.7036
2025-11-09 20:40:00,10269611,1026961.1,43214523.088
2025-11-09 20:45:00,10255460,1025546.0,43130362.576
2025-11-09 20:50:00,10265007,1026500.7,43076075.3748
2025-11-09 20:55:00,10266401,1026640.1,43115804.2797
2025-11-09 21:00:00,10232022,1023202.2,42970399.5912
2025-11-09 21:05:00,10225859,1022585.9,42964969.1744
2025-11-09 21:10:00,10224737,1022473.7,42858007.6092
2025-11-09 21:15:00,10239484,1023948.4,42775444.41
2025-11-09 21:20:00,10246673,1024667.3,42912041.8567
2025-11-09 21:25:00,10243880,1024388.0,42893174.336
2025-11-09 21:30:00,10238482,1023848.2,42960670.472
2025-11-09 21:35:00,10234745,1023474.5,42833431.2995
2025-11-09 21:40:00,10232320,1023232.0,42924582.4
2025-11-09 21:45:00,10230143,1023014.3,42936933.1853
2025-11-09 21:50:00,10224143,1022414.3,43024216.1583
2025-11-09 21:55:00,10218143,1021814.3,42865109.885
2025-11-09 22:00:00,10234011,1023401.1,42913254.9252
2025-11-09 22:05:00,10233039,1023303.9,42826291.5189
2025-11-09 22:10:00,10227820,1022782.0,42764560.984
2025-11-09 22:15:00,10219570,1021957.0,42826130.042
2025-11-09 22:20:00,10218964,1021896.4,42903298.4576
2025-11-09 22:25:00,10215059,1021505.9,42865452.0817
2025-11-09 22:30:00,10220103,1022010.3,42789527.2404
2025-11-09 22:35:00,10202614,1020261.4,42859140.8912
2025-11-09 22:40:00,10207191,1020719.1,42923279.5932
2025-11-09 22:45:00,10196397,1019639.7,42965577.6786
2025-11-09 22:50:00,10187474,1018747.4,43030871.4286
2025-11-09 22:55:00,10191958,1019195.8,43111982.34
2025-11-09 23:00:00,10159572,1015957.2,42968893.8168
2025-11-09 23:05:00,10178925,1017892.5,43146427.29
2025-11-09 23:10:00,10179327,1017932.7,43015800.0366
2025-11-09 23:15:00,10237057,1023705.7,42993591.9886
2025-11-09 23:20:00,10255870,1025587.0,43123882.176
2025-11-09 23:25:00,10280638,1028063.8,42973066.84
2025-11-09 23:30:00,10308532,1030853.2,42972146.4952
2025-11-09 23:35:00,10296308,1029630.8,43208456.522
2025-11-09 23:40:00,10297381,1029738.1,42976119.6035
2025-11-09 23:45:00,10303509,1030350.9,42956359.3719
2025-11-09 23:50:00,10304845,1030484.5,42949563.4755
2025-11-09 23:55:00,10279592,1027959.2,42853563.1296
2025-11-10 00:00:00,10279441,1027944.1,42944420.6657
2025-11-10 00:05:00,10297871,1029787.1,42818547.618
2025-11-10 00:10:00,10298993,1029899.3,42987996.782
2025-11-10 00:15:00,10295649,1029564.9,43058463.2478
2025-11-10 00:20:00,10172199,1017219.9,42559463.3961
2025-11-10 00:25:00,10063033,1006303.3,42254675.567
2025-11-10 00:30:00,10053290,1005329.0,42188631.485
2025-11-10 00:35:00,10106256,1010625.6,42428083.9392
2025-11-10 00:40:00,10103306,1010330.6,42781438.9264
2025-11-10 00:45:00,10159618,1015961.8,43004647.0322
2025-11-10 00:50:00,10140462,1014046.2,43044233.0976
2025-11-10 00:55:00,10112190,1011219.0,43121411.817
2025-11-10 01:00:00,10074594,1007459.4,42591353.5944
2025-11-10 01:05:00,10080057,1008005.7,42659809.2297
2025-11-10 01:10:00,10065990,1006599.0,42323461.554
2025-11-10 01:15:00,10049395,1004939.5,42380308.594
2025-11-10 01:20:00,10056815,1005681.5,42362321.8245
