timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-10-28 11:00:00,1.0779,1.0781,1.0727,1.0737,528414,528414,568089.0602,1
2025-10-28 11:15:00,1.0738,1.0844,1.073,1.0814,962873,962873,1039960.4715,1
2025-10-28 11:30:00,1.0812,1.0848,1.078,1.0788,674278,674278,729324.7152,1
2025-10-28 11:45:00,1.0787,1.0791,1.0703,1.0709,702526,702526,754326.2218,1
2025-10-28 12:00:00,1.0707,1.1073,1.0705,1.0907,6989142,6989142,7632361.9492,1
2025-10-28 12:15:00,1.0908,1.0957,1.0735,1.0779,2870658,2870658,3106971.7098,1
2025-10-28 12:30:00,1.0779,1.082,1.0632,1.0818,2755279,2755279,2955406.1886,1
2025-10-28 12:45:00,1.0819,1.0859,1.0785,1.0812,1255175,1255175,1358943.1858,1
2025-10-28 13:00:00,1.0812,1.0919,1.0792,1.0871,1480368,1480368,1609111.3629,1
2025-10-28 13:15:00,1.0871,1.0914,1.085,1.0899,1114804,1114804,1213592.4242,1
2025-10-28 13:30:00,1.0898,1.0989,1.0851,1.0971,1688509,1688509,1840779.518,1
2025-10-28 13:45:00,1.097,1.1096,1.0961,1.1061,3430475,3430475,3783968.6622,1
2025-10-28 14:00:00,1.1062,1.1087,1.0965,1.1077,1659934,1659934,1829620.5059,1
2025-10-28 14:15:00,1.1078,1.1167,1.098,1.1046,3184477,3184477,3526802.8762,1
2025-10-28 14:30:00,1.1042,1.1054,1.0791,1.0824,2827021,2827021,3081406.1543,1
2025-10-28 14:45:00,1.0824,1.0975,1.0695,1.0859,3056740,3056740,3307190.8592,1
2025-10-28 15:00:00,1.0857,1.1,1.0851,1.0985,1124300,1124300,1229303.1191,1
2025-10-28 15:15:00,1.0985,1.1087,1.0903,1.1002,2286778,2286778,2516988.2726,1
2025-10-28 15:30:00,1.1002,1.101,1.0902,1.099,1656834,1656834,1816544.5763,1
2025-10-28 15:45:00,1.099,1.1105,1.0986,1.1013,1132712,1132712,1252489.7996,1
2025-10-28 16:00:00,1.1013,1.1101,1.0965,1.1061,1151372,1151372,1270168.1113,1
2025-10-28 16:15:00,1.1061,1.11,1.0934,1.1099,1443794,1443794,1591524.5718,1
2025-10-28 16:30:00,1.1101,1.124,1.1086,1.1205,2694424,2694424,3012481.1322,1
2025-10-28 16:45:00,1.1204,1.1523,1.1195,1.1403,4390178,4390178,4991502.9883,1
2025-10-28 17:00:00,1.1402,1.1489,1.1377,1.1442,2387321,2387321,2729722.5354,1
2025-10-28 17:15:00,1.1443,1.151,1.1301,1.1317,3036840,3036840,3462756.8919,1
2025-10-28 17:30:00,1.1317,1.1454,1.1306,1.1411,1832522,1832522,2086339.0286,1
2025-10-28 17:45:00,1.1411,1.1425,1.1328,1.1368,1438643,1438643,1636669.7987,1
2025-10-28 18:00:00,1.1367,1.1429,1.131,1.1418,1194210,1194210,1356753.7608,1
2025-10-28 18:15:00,1.1418,1.1418,1.125,1.1301,2338586,2338586,2646922.4124,1
2025-10-28 18:30:00,1.1302,1.1351,1.1217,1.1299,1836079,1836079,2073996.9054,1
2025-10-28 18:45:00,1.1299,1.1472,1.1292,1.1455,1446163,1446163,1646095.3727,1
2025-10-28 19:00:00,1.1459,1.1497,1.1393,1.1476,1527666,1527666,1750529.6091,1
2025-10-28 19:15:00,1.1477,1.1477,1.1154,1.118,4154624,4154624,4684835.0982,1
2025-10-28 19:30:00,1.118,1.1332,1.1124,1.1262,2318258,2318258,2603294.8701,1
2025-10-28 19:45:00,1.1262,1.1269,1.1024,1.1116,3302080,3302080,3665507.4175,1
2025-10-28 20:00:00,1.1115,1.1127,1.0886,1.0934,3723991,3723991,4088598.4557,1
2025-10-28 20:15:00,1.0932,1.1024,1.0864,1.0925,3026459,3026459,3309267.7315,1
2025-10-28 20:30:00,1.0926,1.1081,1.0799,1.1015,2621965,2621965,2871524.1,1
2025-10-28 20:45:00,1.1017,1.1018,1.0821,1.0915,1654578,1654578,1807976.3184,1
